Date,Price (USD/pound)
2023-05-31,1.7865
2023-06-01,1.8305
2023-06-02,1.803
2023-06-05,1.831
2023-06-06,1.826
2023-06-07,1.854
2023-06-08,1.9485
2023-06-09,1.9065
2023-06-12,1.8555
2023-06-13,1.8275
2023-06-14,1.844
2023-06-15,1.87
2023-06-16,1.849
2023-06-20,1.7745
2023-06-21,1.72
2023-06-22,1.7025
2023-06-23,1.6485
2023-06-26,1.6515
2023-06-27,1.6695
2023-06-28,1.6195
2023-06-29,1.616
2023-06-30,1.59
2023-07-03,1.605
2023-07-05,1.589
2023-07-06,1.6045
2023-07-07,1.609
2023-07-10,1.5985
2023-07-11,1.5755
2023-07-12,1.57
2023-07-13,1.576
2023-07-14,1.608
2023-07-17,1.558
2023-07-18,1.563
2023-07-19,1.555
2023-07-20,1.5805
2023-07-21,1.6185
2023-07-24,1.63
2023-07-25,1.6185
2023-07-26,1.6315
2023-07-27,1.6145
2023-07-28,1.579
2023-07-31,1.6465
2023-08-01,1.6455
2023-08-02,1.6695
